職業,総数,男,女
総数,27795377,17680754,10114623
農業総数,13461317,7428282,6033035
自作,4509978,2463667,2046311
小作,3615962,1984241,1631721
自作兼小作,5335377,2980374,2355003
園芸、造園,67346,51787,15559
牧畜、榨乳、養禽,45029,30822,14207
養蚕,347863,72595,275268
森林業,10681,9713,968
林産物業,178025,146575,31450
狩業,912,901,11
漁獲、採藻,527747,491439,36308
魚介藻養殖,3492,2893,599
？,24553,20237,4316
金属鉱業,59342,52282,7060
石炭鉱業,323668,237923,85745
石油鉱業,8837,8045,792
土石採取業,26454,23836,2618
セメント、石炭,16863,14979,1884
瓦、土管製造,55007,46424,8583
煉瓦製造,19388,15014,4374
陶磁器、土器製造,46756,35467,11289
？,2824,2550,274
硝子、硝子品製造,33337,30634,2703
精錬業,50260,46631,3629
金属圧延業,19827,18105,1722
釘、鋲 、針類製造,11555,10220,1335
？,28760,27863,897
針金細工,5178,4454,724
鍛冶業,146878,143008,3870
鋳物業,58156,56469,1687
銅器、青銅器類製造,9216,8884,332
計測器、科学的機器具類製造,17184,16196,988
時計製造,12334,11619,715
電動機、電機器具製造,35657,31521,4136
原動（機関？）,28326,27746,580
鉄砲、弾丸、水雷製造,36620,30763,5857
紡織機械器具製造,11663,10425,1238
農具、土工具製造,39091,35793,3298
機関車、車両製造,52797,51136,1661
造船業,85109,83567,1542
金属工用、木工用機器具製造,430,395,35
航空機製造,1366,1318,48
？,19669,17147,2522
？,13446,10032,3414
染料、顔料　製造,6055,5462,593
石鹸製造,3651,3041,610
化粧品類製造,3577,2300,1277
？,21535,10037,11498
？,4880,3939,941
油脂類製造,10314,9405,909
蝋、蝋燭製造,3956,3090,866
セルロイド、防水品,21304,17566,3738
漆、其他ノ塗料製造,2637,2373,264
肥料製造,15835,13579,2256
科学分析、検査,1582,1436,146
其他ノ科学工業,5465,4162,1303
生糸製造,380957,54235,326722
人造絹糸製造,467,227,240
？,32605,14594,18011
真綿製造,3854,1054,2800
綿製造,22404,14549,7855
綿絲紡績業,185094,51434,133660
其他ノ紡績業,32120,12742,19378
織物業,473800,115680,358120
毛織物業,29353,10855,18498
？,21956,15066,6890
編物、組物製造,7236,3330,3906
？,19976,9573,10403
？,23076,3986,19090
染色、漂白,117557,99843,17714
洗濯,20624,13581,7043
西洋洗濯業,10027,8896,1131
紙製造,73014,42988,30026
板紙、壁紙,1296,998,298
パルプ,2027,1382,645
紙品製造,27837,21016,6821
表具師,17805,16975,830
皮革製造,6747,6351,396
革製品,9331,8452,879
骨、角、甲、牙細工,16976,14302,2674
印毛,10019,6896,3123
製材業,59691,56530,3161
屋根板製造,90570,87985,2585
？,20252,18331,1921
樽、桶,65942,65196,746
建具、指物,142697,140460,2237
漆器,24576,21284,3292
？,31285,24852,6433
？,27381,6224,21157
？,38638,37139,1499
？,93762,24577,69185
精穀、製粉,80606,58994,21612
麺類,30758,21656,9102
豆腐,61214,28129,33085
菓子,158703,119461,39242
砂糖類,5232,4802,430
麹,5642,3709,1933
清酒,37751,34784,2967
？,4531,3846,685
味噌醤油,42481,39594,2887
肉類品,1498,1381,117
？,3864,2898,966
魚介類製造,20333,12797,7536
海藻製造,8460,6056,2404
清涼飲料,5488,4178,1310
製茶,6439,4342,2097
たばこ,34041,13042,20999
製氷,4040,3822,218
和服裁縫,112512,19001,93511
洋服裁縫,56185,43391,12794
帽子製造,18271,9441,8830
シャツ　製造,44534,30371,14163
袋物,6268,5621,647
傘、提灯、合羽,49618,37443,12175
洋傘,10599,9157,1442
履き物類,115469,87591,27878
靴製造,21014,19975,1039
土木建築請負業,50636,49823,813
土木　設計,7910,7799,111
大工,351015,350861,154
左官,73876,72787,1089
石工,73126,72146,980
屋根職,31156,31062,94
ペンキ、塗料,15125,14591,534
とび職,99150,96255,2895
潜水業,2155,2070,85
製版、印刷,25909,23971,1938
活字,48319,44341,3978
製本,12243,10590,1653
？,5652,4499,1153
ペン、鉛筆製造,6011,5122,889
楽器製造,7293,6636,657
玩具製造,17166,13774,3392
造花製造,15435,8519,6916
貴金属細工,11830,11255,575
？,8603,8240,363
電力供給,75980,74046,1934
穀類　販売,146723,114080,32643
果物販売,123134,88860,34274
魚介販売,187887,131828,56059
鳥獣肉類販売,28730,22399,6331
調味料販売,205940,131065,74875
菓子販売,151779,58374,93405
茶販売,11737,9167,2570
肥料販売,20781,18463,2318
燃料販売,71824,60871,10953
木材、竹材販売,63177,60584,2593
石材販売,10608,9696,912
建具、家具販売,8195,7324,871
？,67576,44514,23062
陶磁器、ガラス販売,24384,19751,4633
金属器具販売,43035,38966,4069
？,32195,30152,2043
皮革製品販売,3781,3479,302
織物、被服販売,242932,192593,50339
綿販売,27204,23735,3469
文房具、玩具販売,49989,38440,11549
新聞、雑誌販売,42274,38054,4220
小物、雨具販売,133454,91424,42030
染料、顔料販売,73575,58825,14750
時計、貴金属販売,16753,15666,1087
外国貿易商,40444,38767,1677
古物商,87575,74786,12789
葬具商,2336,2049,287
売買媒介,171560,159595,11965
周旋業,37832,33331,4501
興信業,1984,1700,284
銀行業,69908,66139,3769
質屋,22095,15917,6178
貸金業,10571,9375,1196
生命保険業,13882,13239,643
物品賃貸,7606,5480,2126
倉庫業,9447,8926,521
宿、下宿,137476,43774,93702
飲食店,377716,111380,266336
興行,21578,14829,6749
理髪業,145863,74749,71114
浴場業,30928,20981,9947
郵便、電信,114613,92244,22369
鉄道業,195594,140251,55343
軌道業,36751,35676,1075
人力社業,89188,89046,142
乗用の自動車、馬車,18011,17613,398
船舶運輸業,235385,222501,12884
運輸取扱業,92389,89635,2754
陸軍,191923,191923,0
海軍,58537,58537,0
神官、神職,16325,15950,375
宮内官史,5471,5256,215
官史,145102,139291,5811
公史,167842,158487,9355
神道,21631,17000,4631
仏教,111268,99066,12202
キリスト教,3584,2443,1141
学校に勤務する者,250414,172557,77857
博物館、動物園,1949,1554,395
医師,60145,52793,7352
歯科医師,10688,10302,386
調剤業,8043,7199,844
産婆,22943,12,22931
看護師,46281,1003,45278
あん摩,335476,320040,15436
獣医,3436,3429,7
蹄鉄業,6607,6319,288
裁判所,14303,12192,2111
弁護士,5771,5739,32
執達史業,852,850,2
？,525,523,2
新聞記者,8058,7866,192
著述者,1830,1740,90
文芸家,347,313,34
画家、彫刻家,26117,23901,2216
音楽家,19305,9908,9397
蒔絵業,4386,4123,263
？,9619,8824,795
？,93940,15162,78778
学術、政治,35405,31720,3685
代書業,9949,9833,116
？,441448,277120,164328
家事使用人,100315,88831,11484
小作料に依る者,63225,39414,23811
地代、家賃に依る者,46653,27033,19620
恩給、年金に依る者,259156,89099,170057
学生,141071,97203,43868
精神病院にいる者,3806,2697,1109
？,8445,4554,3891
在監人,52386,50532,1854
