職業,総数,男,女
総数,32482516,19729628,12752888
経営者、事務者,2096769,1625269,471500
経営者,189766,164109,25657
経営者,189766,164109,25657
事務者,1907003,1461160,445843
一般事務者,1621778,1259053,362725
販売仕入れ事務,167975,153344,14631
簿記事務,61122,39724,21398
計理士,2031,2011,20
通訳,498,466,32
速記者,1016,877,139
タイピスト,52583,5685,46898
技術者,450724,438955,11769
農林、水産技術者,51481,50601,880
農業技術者,18030,18010,20
蚕業技術者,17047,16195,852
畜産,2903,2899,4
獣医師,4212,4212,0
林業,7557,7557,0
水産,1732,1728,4
鉱工,244759,243986,773
鉱山,15668,15668,0
や金,4602,4602,0
機械,53390,53388,2
電気機械,10235,10233,2
電気通信機械,7234,7230,4
航空機,4339,4339,0
造船,3094,3094,0
科学,14902,14758,144
電気化学,1053,1053,0
火薬,702,696,6
燃料科学,1136,1134,2
窯業,2321,2318,3
レンズ,463,463,0
食料品,1870,1801,69
醸造,1241,1236,5
紡織,7566,7137,429
染色,3523,3470,53
木工技術者,4576,4574,2
土木,40841,40841,0
建築,26302,26302,0
電気,34747,34742,5
交通、通信,35336,35305,31
船長,6809,6809,0
船舶運転士,4440,4440,0
船舶機関士,9442,9442,0
航空士,44,44,0
航空機操縦士,319,318,1
航空機機関士,150,150,0
電子通信技術者,14132,14102,30
医師、薬剤師,91374,81865,9509
医師,50447,46518,3929
歯科医師,20374,18846,1528
薬剤師,20553,16501,4052
気象,1809,1803,6
気象技術者,998,998,0
気象手,811,805,6
理化学研究員,25965,25395,570
農林、水産学,14232,14141,91
鉱工学,5705,5644,61
医学,1866,1719,147
作業者,28958490,16897606,12060884
農林、畜産,13848658,6626738,7221920
農耕作業者,12067094,5841056,6226038
果樹園、園芸,166969,94663,72306
造園師、植木,38218,37364,854
造林,18520,15759,2761
伐木,99352,97296,2056
炭焼,152491,123995,28496
畜産,47429,31815,15614
馬調教,1988,1988,0
？てい,6036,6035,1
蚕業作業者,916278,206284,709994
養鶏,57112,22843,34269
水産作業者,517569,452034,65535
漁ろう者,88823,8823,80000
鉱物、土石,367838,325705,42133
発破係,4390,4390,0
坑内採鉱、採炭,142687,134273,8414
坑内掘進,34505,33124,1381
坑内支柱,44125,41921,2204
坑内充てん,8070,7777,293
坑内運搬,42006,40272,1734
露天採掘,21851,19792,2059
選鉱夫,36815,13980,22835
土砂採取,27456,24324,3132
さく井,4421,4388,33
？油夫,1337,1292,45
天然ガス採取,175,172,3
製錬作業者,50951,49965,986
だい焼き工,3079,2816,263
製鉄工　電気,3468,3440,28
混鉄炉工,429,424,5
製鋼工　電気,8089,8075,14
非鉄金属製錬工　電気,2938,2889,49
非鉄金属製錬工　科学操作,1977,1946,31
非鉄金属製錬工　電解,2962,2921,41
造塊工,3151,3135,16
非金属製錬工,1866,1818,48
製図、現図作業者,47407,39661,7746
造船、航空機製図工,4788,4412,376
機械製図工,19110,17394,1716
写図工,7255,2983,4272
造船現図工,3451,3431,20
航空機現図工,957,890,67
金属材料　加工作業者,397888,374053,23835
金属加熱炉工,6935,6906,29
金属板圧延伸張,22613,19985,2628
金属板圧延,10920,10692,228
金属製管,54476,5345,49131
金属小物圧延,3692,3234,458
金属線伸張,7249,6837,412
金属ねん線,2557,1966,591
金属傷取,4000,3516,484
金属切断,11115,10718,397
かじ、刃物,87396,84516,2880
機械火製造,38788,38715,73
熱処理,16443,15910,533
金属熔融,8755,8694,61
鋳物木型,9645,9530,115
鋳物砂型,32627,30464,2163
中子,4307,1806,2501
鋳物,67582,66465,1117
特殊鋳物,5348,5218,130
機械器具,869567,812435,57132
けがき工,8531,8377,154
旋盤工　金属,321763,316015,5748
旋盤工　非金属,122337,11888,110449
タレット工,24462,23327,1135
小型機械工,12272,9745,2527
中クリ盤工,4995,4897,98
ポール盤工,22308,19828,2480
削盤工,24745,24509,236
フライス盤工,39466,36382,3084
歯切り盤工,5151,4979,172
研磨盤,24811,22229,2582
ラッピング工,2255,1319,936
鉄木工,10170,10170,0
とう鉄工,13705,13685,13705
てんげき工,2763,2750,13
びょう打工,14627,14517,110
板金びょう打工,7585,7514,71
板金工、ブリキ,78001,76647,1354
金属プレス工,32170,29259,2911
ドラム缶,7801,6530,1271
ガス溶接工,25175,24973,202
電気溶接工,18300,18051,249
はんだ付工,1416,1184,232
パイプ工,18070,17980,90
鉛工,5724,5688,36
金属彫刻,4269,3974,295
目立工,11198,10796,402
刃物研ぎ工,5800,5399,401
レンズ研磨工,4756,3797,959
レンズ心取,426,306,120
ガラス目盛工,829,611,218
針金細工,5192,3989,1203
電線被装,7401,4379,3022
巻線,12269,5993,6276
絶縁工,3310,1707,1603
配線工,8507,7891,616
乾電池,3237,1400,1837
蓄電池,3730,3254,476
電球放電管,6197,2723,3474
真空管,2635,1187,1448
機械製びょう,3215,2943,272
バネ工,2919,2623,296
針布工,1112,704,408
仕上げ、組立工,423,411,12
網具工,2453,2343,110
機械仕上げ,565277,537239,28038
手仕上工,180261,169328,10933
機械器具部品仕上組立,76086,73502,2584
機械器具組立,40612,39705,907
レンズ、パルサム工,2028,1516,512
計器組立工,11537,9936,1601
航空機用金属プロペラ,1609,1568,41
航空機木製プロペラ,3637,3571,66
航空機部品組立工,28026,27290,736
航空機総組立,12212,12148,64
航空機ぎ装,2480,2415,65
造船ぎ装,5571,5533,38
自動車組立工,31048,30955,93
電気機械器具組立,28739,25983,2756
電気通信機組立,18079,15451,2628
内張工,1970,1873,97
かざり工,5793,5479,314
時計組立工,25247,24076,1171
機械器具装置工,83373,80551,2822
工具保全工,6969,6359,610
化学製品,339796,248034,91762
硫酸工,3838,3790,48
塩酸工,590,579,11
硝酸工,734,727,7
さく酸工,673,657,16
ソーダ工,6807,6687,120
石灰炉工,406,376,30
ガーバイド工,2060,1987,73
人造研磨材製造,2415,2034,381
アセトン工,210,203,7
硫安工,1535,1520,15
石灰窒素工,670,660,10
酢酸繊維素工,211,199,12
硝化綿,458,448,10
火薬工,15634,12006,3628
火工,10337,5324,5013
染料,6081,5790,291
顔料,2342,1833,509
塗料,4419,3930,489
アンモニア,1701,1688,13
アルコール,982,908,74
しょう脳精製,1564,1271,293
？製造,296,259,37
二硫化炭素,771,760,11
圧縮ガス,2559,2547,12
油脂抽出,6746,6138,608
油脂加工,6508,5335,1173
グリセリン,247,237,10
石炭乾,5128,4922,206
タール,1486,1458,28
人造石油,605,598,7
石油,2977,2918,59
ガス発生炉,3744,3733,11
マッチ工,2683,1225,1458
合成ゴム,1558,1111,447
ゴム製錬,7180,6357,823
ゴム加工,29230,17747,11483
ゴム加琉,3299,2853,446
セルロイド,2481,2173,308
セルロイド加工,11691,8754,2937
人造レジン,1068,969,99
人造レジン加工,4643,4028,615
パルプ工,4978,4399,579
製紙工,46731,26394,20337
加工紙工,6067,3463,2604
バルカナイズドファイバー工,1424,1016,408
セロファン,7886,7507,379
人絹　紡糸,16317,13412,2905
人絹　仕上,224885,5959,218926
セロファンしょう紙工,902,639,263
革なめし,4760,4416,344
毛皮なめし,1101,994,107
黒鉛製造,390,359,31
電極,3277,3074,203
活性炭,706,630,76
製塩作業,14529,11649,2880
アルミナ製造,2258,2213,45
窯業,166129,126622,39507
窯業原料,9121,7838,1283
成型工,20126,13543,6583
施ゆう工,3094,983,2111
焼成工,9207,8469,738
窯業仕上げ,4000,1783,2217
黒鉛ルツボ,484,437,47
陶工,20192,14090,6102
セメント焼成,2449,2357,92
ガラス熔融,1331,1271,60
ガラス吹,7270,6930,340
板ガラス,1390,1330,60
型物ガラス,5292,4932,360
ガラス？引,535,411,124
特殊ガラス,2505,2232,273
ガラス加工,16600,12568,4032
石綿紡織,1710,696,1014
石綿工,4384,3685,699
瓦製造,30596,23677,6919
石細工,6408,5948,460
宝石細工,1850,1326,524
紡織,1132266,302547,829719
製糸工,203565,11493,192072
麻,5155,1926,3229
紡績,174387,22756,151631
ねん糸,63770,15514,48256
織布,382499,54165,328334
起毛工,5398,3782,1616
フェルト,2188,1402,786
漂白,17773,12888,4885
染物,70300,60825,9475
機械なつ染,5847,4696,1151
刺しゅう,10951,4965,5986
組紐,44645,18764,25881
洗濯職,68093,53182,14911
製鋼工,6523,3337,3186
製鋼工,9822,2168,7654
被服,536461,272688,263773
仕立職,98773,19294,79479
洋裁師,134956,97732,37224
裁断工,12727,10225,2502
ミシン工,136329,42378,93951
紡糸製造,8856,5828,3028
せんす、うちわ,2481,1445,1036
ちょうちん、かさ,24678,16935,7743
洋がさ,5552,4623,929
げた,47444,43538,3906
ぞうり、はきもの,35358,15652,19706
印刷、紙製品,241163,187533,53630
文選、植字,30027,23954,6073
活字,1907,1674,233
製版工,10018,9387,631
印刷工,51475,47820,3655
写真師,27119,25004,2115
製本職,21153,15932,5221
表具師,18449,17837,612
紙はこ,28579,18093,10486
皮革、骨,80658,67377,13281
革選定,2784,2279,505
革縫,6187,3820,2367
革靴製造,33301,31571,1730
馬あん,1261,1192,69
骨、角、甲、細工,9347,7178,2169
はけ、羽毛,10103,6153,3950
木、竹、草,631810,544516,87294
製材工,101209,97258,3951
調木工,14157,11069,3088
合板,5791,4383,1408
人造板,451,374,77
コルク,2330,1551,779
木工,75838,72456,3382
木型,10166,9995,171
船大工、車大工,35471,35456,15
建物指物,120806,120309,497
たる、おけ,41678,41344,334
曲物,5578,4953,625
たたみ、ござ,25973,4432,21541
畳,37966,37565,401
たが、かご,33923,26544,7379
飲食料品,753547,497044,256503
精米、精穀,70510,53581,16929
製粉,13323,10204,3119
麺類,26401,18158,8243
豆腐,58542,31218,27324
菓子,138609,105571,33038
パン,15770,13756,2014
精糖,1532,1365,167
こうじ,3781,2634,1147
みそ、しょうゆ,23742,21854,1888
和酒,6427,6024,403
清涼飲料,5985,4214,1771
缶詰,13655,5769,7886
製茶,4807,3486,1321
たばこ,14572,3777,10795
製氷,5131,4785,346
料理人,265279,159369,105910
土木建築,959765,948431,11334
大工,334502,334499,3
左官,76346,76307,39
コンクリートわく組,2670,2653,17
鉄筋工,4218,4181,37
コンクリートわく組,19729,19364,365
れんが積み,10175,10006,169
石工,62340,61974,366
？職,24606,24602,4
道路工夫,22859,22792,67
線路工夫,46966,46864,102
とび職,51475,51469,6
潜水夫,2289,2287,2
電気作業者,117823,116267,1556
発変電,21307,21294,13
通信電気装置,10673,10501,172
絵付、塗装,132630,112463,20167
画工、絵付,19517,13919,5598
漆工,28423,23700,4723
塗装,60531,53884,6647
メッキ工,13983,12377,1606
金属酸洗,3191,2419,772
砂吹,554,506,48
バフみがき,6431,5658,773
実験、検査,118320,82258,36062
実験工,24224,20754,3470
機械器具部品検査,18137,13130,5007
機械器具検査,21637,18984,2653
船体検査,1070,1062,8
機械試運転,4333,4255,78
紡織品検査,5222,2149,3073
選別工,43697,21924,21773
運輸、運搬,968255,923150,45105
機関士、運転士　蒸気機関車,34088,34087,1
運転士　電車,22463,22454,9
自動車運転手,171519,171211,308
車掌,49628,30537,19091
操車手、信号手,49394,47363,2031
船舶運転士,16432,16432,0
船舶機関士,13821,13820,1
かじ手、水夫,97875,91814,6061
航空機整備員,4828,4809,19
人力車夫,77502,77225,277
運搬夫、配達夫,430705,413398,17307
通信作業者,156184,91386,64798
有線電信,21096,19382,1714
無線電信,4333,4281,52
電話交換手,62831,325,62506
てい信？,67924,67398,526
医療、理容,426598,155514,271084
歯科技師,6486,5809,677
看護婦,71442,0,71442
産婆,38845,0,38845
あん摩,46245,32751,13494
接骨,2017,1939,78
理髪師、髪結い,178255,101050,77205
商業的作業者,2951379,1923610,1027769
物品仲買人,1421339,1113836,307503
店員、売り子,1530040,809774,720266
接客,491967,41016,450951
番頭、女中、給仕人,341625,41016,300609
芸妓,150342,0,150342
家事使用人,705250,36703,668547
家事使用人,705250,36703,668547
企画手,23275,21075,2200
守衛,57788,56773,1015
原動機運転工,27038,26418,620
起重機運転,17309,17301,8
汽かんし,23918,23915,3
火夫,46130,45333,797
？職,3504,289,3215
包装、びん、たる,28571,4365,24206
荷造,56229,22506,33723
給仕、雑役,581580,378099,203481
見習い工,161572,152504,9068
公務者,976533,767798,208735
官史、公史,299079,296967,2112
一般の官史、公史,284766,282654,2112
神官、神職,14313,14313,0
宗教家,144386,117542,26844
神道,34629,21230,13399
僧侶、仏教,100816,90776,10040
牧師、キリスト教,3320,2297,1023
教育,416034,262789,153245
小学校教員,285890,172923,112967
理科的科目担当教員,20066,18817,1249
文科的科目担当教員,29907,27026,2881
文化科学,1422,1337,85
法務者,13316,13291,25
判事、検事,2258,2258,0
弁護士,5828,5828,0
公証人,5230,5205,25
記者、芸術,75974,59822,16152
記者、芸術,13909,13699,210
文芸家,4920,4732,188
画家,21324,20616,708
音楽家、舞踏家、俳優,22903,12315,10588
