職業,総数,男,女,old_title
総数,43719070,26601750,17117320,総数
専門的・技術的職業従事者,2172190,1404930,767260,Ａ専門的・技術的職業従事者
技術者,333630,331230,2400,(2)技術者
鉱山技術者,8070,8070,0,3鉱山技術者
や金技術者,9380,9340,40,や金技術者
機械技術者,61390,61330,60,5機械技術者
電気技術者,51310,51180,130,6電気技術者
化学技術者,23870,23090,780,7化学技術者
土木・建築技術者,103160,102890,270,土木・建築技術者
農林技術者,52570,52050,520,10農林技術者
教員,803130,525160,277970,(7)教員
小学校教員,359940,198740,161200,32小学校教員
中学校教員,204460,158650,45810,33中学校教員
高等学校教員,137570,112700,24870,34高等学校教員
特殊学校・幼稚園教員,28930,4580,24350,特殊学校・幼稚園教員
大学教員,41580,37290,4290,大学教員
医療保険技術者,561110,218300,342810,医療保険技術者
医師,100300,90690,9610,12医師
歯科医師,32910,28800,4110,13歯科医師
薬剤師,35260,21320,13940,15薬剤師
助産婦,22970,0,22970,助産婦
保健婦,13620,0,13620,保健婦
看護婦，看護人,197670,3410,194260,18看護婦，看護人
あん摩マッサージ指圧師，はり師，きゅう師，柔道整復師,52510,35700,16810,24あん摩マッサージ指圧師，はり師，きゅう師，柔道整復師
獣医師,8970,8940,30,獣医師
芸術家・芸能家,75060,49220,25840,芸術家・芸能家
美術家,9850,9310,540,美術家
デザイナー,15620,10380,5240,デザイナー
音楽家,22780,14250,8530,音楽家
俳優、舞踏家、演芸家,26810,15280,11530,俳優、舞踏家、演芸家
文芸家、著述家、記者,53580,49870,3710,文芸家、著述家、記者
科学研究者,32370,30090,2280,科学研究者
裁判官，検察官，弁護士,9790,9670,120,28裁判官，検察官，弁護士
公認会計士、税理士、弁理士,12890,12670,220,公認会計士、税理士、弁理士
宗教家,111190,89730,21460,宗教家
保母,45000,0,45000,保母
社会福祉事業専門職員,15040,9890,5150,社会福祉事業専門職員
写真師,21160,19950,1210,写真師
管理的職業従事者,983660,943250,40410,管理的職業従事者
管理的職業従事者,983660,943250,40410,管理的職業従事者
管理的公務員,77610,77010,600,53管理的公務員
会社役員,509300,480580,28720,54会社役員
駅長、区長,7720,7710,10,駅長、区長
郵便局長,13550,13140,410,郵便局長
事務従事者,4515930,2832040,1683890,Ｃ事務従事者
一般事務従事者,4328600,2652400,1676200,(16)一般事務従事者
一般事務員,3009500,2030590,978910,58一般事務員
会計事務員,1229100,621810,607290,59会計事務員
郵便・通信事務員,47000,39070,7930,63郵便・通信事務員
駅務員,72920,69010,3910,駅務員
速記者，タイピスト,69860,2870,66990,64速記者，タイピスト
集金人,87550,68690,18860,60集金人
販売従事者,4635470,2689210,1946260,Ｄ販売従事者
商品販売従事者,4294730,2438090,1856640,(20)商品販売従事者
小売店主,1147500,790310,357190,67小売店主
卸売店主,175010,165790,9220,68卸売店主
飲食店主,189430,86740,102690,69飲食店主
販売店員,2274730,997760,1276970,70販売店員
行商、露天商,216880,127180,89700,行商、露天商
外交員,290180,270310,19870,外交員
商品仲立人,54450,50540,3910,74商品仲立人
保険代理人・外交員,97230,52050,45180,76保険代理人・外交員
不動産,37640,30990,6650,不動産
質屋店主・店員,26570,14650,11920,77質屋店主・店員
農林漁業作業者,14172390,6851280,7321110,Ｇ農林漁業作業者
農業作業者,13592750,6346000,7246750,(29)農業作業者
農耕・養蚕作業者,12976840,5862200,7114640,107農耕・養蚕作業者
養畜作業者,179350,98290,81060,108養畜作業者
育林作業者,87340,69570,17770,111育林作業者
伐木・造材作業者,108280,105700,2580,112伐木・造材作業者
集材・運材作業者,65820,63740,2080,113集材・運材作業者
製炭・製薪作業者,128280,104570,23710,114製炭・製薪作業者
植木職，造園師,24430,23490,940,109植木職，造園師
漁業作業者,579640,505280,74360,(31)漁業作業者
漁夫,398180,380960,17220,漁夫
漁ろう船の船長・航海士・機関長・機関士,38760,38670,90,118漁ろう船の船長・航海士・機関長・機関士
海草・貝採取作業者,57110,38640,18470,117海草・貝採取作業者
水産養殖作業者,64180,40620,23560,119水産養殖作業者
採掘作業者,361990,335310,26680,Ｉ－１採掘作業者
採掘作業者,361990,335310,26680,(37)採掘作業者
採鉱員,23830,22840,990,137採鉱員
採炭員,126380,125770,610,138採炭員
石切出作業員,30900,29210,1690,139石切出作業員
砂利・砂・粘土採取作業者,37830,28430,9400,140砂利・砂・粘土採取作業者
支柱員,40150,40150,0,141支柱員
坑内運搬員,26720,26720,0,142坑内運搬員
選鉱員，選炭員,22740,10520,12220,143選鉱員，選炭員
他の採掘作業者,53440,51670,1770,他の採掘作業者
運輸・通信従事者,1490590,1299480,191110,Ｈ運輸・通信従事者
陸上運輸機関運転従事者,932910,930590,2320,陸上運輸機関運転従事者
蒸気機関士,36320,36320,0,蒸気機関士
電気機関士,7510,7510,0,電気機関士
電車・気動車運転士,23410,23410,0,電車・気動車運転士
自家専用鉄道の機関士・電車運転士,5870,5870,0,自家専用鉄道の機関士・電車運転士
自動車運転者,859800,857480,2320,123自動車運転者
水上運輸機関運転従事者,71890,70390,1500,水上運輸機関運転従事者
船長・航海士、水先人,32130,32010,120,船長・航海士、水先人
船舶機関長・機関士,33720,32540,1180,船舶機関長・機関士
船頭,6040,5840,200,船頭
航空機操縦士，航空機関士,740,740,0,126航空機操縦士，航空機関士
車掌,106300,47560,58740,車掌
操車掛，信号掛，転てつ手，連結手,50310,50150,160,128操車掛，信号掛，転てつ手，連結手
甲板員・船舶技士,40990,39100,1890,129甲板員・船舶技士
船舶機関員,15390,15110,280,130船舶機関員
通信従事者,245140,119780,125360,(36)通信従事者
無線通信・無線技術従事者,23870,23260,610,132無線通信・無線技術従事者
有線通信員,23990,19630,4360,133有線通信員
電話交換手,124750,6350,118400,134電話交換手
郵便・電報外務員,69740,68090,1650,135郵便・電報外務員
技能工，生産工程従事者及び単純労働者,12527060,9081790,3445270,技能工，生産工程従事者及び単純労働者
金属材料製造作業者,373620,354780,18840,(39)金属材料製造作業者
製銑工，製鋼工,53170,52430,740,154製銑工，製鋼工
非鉄金属製錬工,21450,21080,370,155非鉄金属製錬工
鋳物工,115720,107280,8440,156鋳物工
鍛造工,63080,60890,2190,157鍛造工
圧延工,41540,40860,680,159圧延工
伸線工,12350,11530,820,160伸線工
金属熱処理工,16020,15620,400,158金属熱処理工
金属加工および機械組立・修理従事者,1764030,1593440,170590,金属加工および機械組立・修理従事者
金属工作機械工,398900,379250,19650,165金属工作機械工
金属プレス工,109670,92670,17000,166金属プレス工
金属溶接・溶断工,173170,169590,3580,167金属溶接・溶断工
鉄工，びょう打工，製缶工,103320,103320,0,168鉄工，びょう打工，製缶工
ブリキ、板金工,134800,130980,3820,ブリキ、板金工
金属彫刻工,8270,7140,1130,170金属彫刻工
めっき工,46280,38980,7300,171めっき工
手仕上工,117410,96740,20670,手仕上工
機械組立工,129010,118580,10430,機械組立工
機械修理工,150480,147950,2530,機械修理工
電気機械器具組立・修理作業者,391280,231820,159460,(43)電気機械器具組立・修理作業者
電気機械器具組立工,264420,167120,97300,175電気機械器具組立工
電球・真空管組立工,27220,11150,16070,177電球・真空管組立工
被覆電線製造工,18750,12630,6120,178被覆電線製造工
輸送機械組立・修理作業者,350870,342180,8690,(44)輸送機械組立・修理作業者
自動車組立工,24040,22170,1870,181自動車組立工
自動車整備工,161410,160080,1330,182自動車整備工
鉄道車両組立工・修理工,41190,40990,200,184鉄道車両組立工・修理工
船舶ぎ装工他に分類されないもの,16390,16320,70,186船舶ぎ装工(他に分類されないもの)
航空機組立工・整備工,5850,5790,60,183航空機組立工・整備工
自転車組立工・修理工,70820,66580,4240,185自転車組立工・修理工
計器・光学機械器具組立・修理作業者,120010,90320,29690,計器・光学機械器具組立・修理作業者
時計組立工・修理工,43390,36130,7260,188時計組立工・修理工
レンズ研磨工・調整工,13370,9240,4130,189レンズ研磨工・調整工
光学機械器具組立工・修理工,17020,11210,5810,190光学機械器具組立工・修理工
計器組立工・調整工,30580,23720,6860,191計器組立工・調整工
製糸・紡織作業者,1153660,285130,868530,(48)製糸・紡織作業者
繰糸工,37870,2500,35370,209繰糸工
粗紡工，精紡工,110000,8880,101120,210粗紡工，精紡工
合糸工，ねん糸工，加工糸工,58720,12960,45760,211合糸工，ねん糸工，加工糸工
揚返工，かせ取工,46080,2680,43400,212揚返工，かせ取工
織機準備工,58670,15920,42750,213織機準備工
織布工,325500,46420,279080,214織布工
編物工，編立工,107800,31450,76350,217編物工，編立工
製鋼工，製網工繊維製,30600,8620,21980,218製鋼工，製網工(繊維製)
漂白工，精練工,29890,19280,10610,215漂白工，精練工
染色工,92940,72700,20240,216染色工
衣服・繊維製品製造作業者,844680,239090,605590,(49)衣服・繊維製品製造作業者
洋服仕立職,158270,111340,46930,洋服仕立職
婦人・子供服仕立工,162070,14320,147750,220婦人・子供服仕立工
ミシン縫製工,270250,51530,218720,224ミシン縫製工
裁断工,29850,19050,10800,225裁断工
木・竹・草・つる製品製造作業者,800460,643170,157290,(50)木・竹・草・つる製品製造作業者
製材工,147070,133900,13170,227製材工
合板工,21370,14580,6790,229合板工
指物職、建具職,230630,220350,10280,指物職、建具職
船大工,28700,28700,0,232船大工
木工,75570,68940,6630,木工
げた職,15250,11730,3520,げた職
木製おけ・たる製造工,22100,21230,870,木製おけ・たる製造工
竹細工工,51630,33560,18070,233竹細工工
草・つる製品製造工,95420,35930,59490,234草・つる製品製造工
パルプ・紙・紙製品製造作業者,207570,116620,90950,(51)パルプ・紙・紙製品製造作業者
パルプ工，紙料工,25970,23140,2830,236パルプ工，紙料工
製紙工,34730,24140,10590,製紙工
紙器製造工,55370,27780,27590,238紙器製造工
紙製品製造工,35980,7960,28020,239紙製品製造工
印刷・製本作業者,255390,203020,52370,(52)印刷・製本作業者
製版工,19410,18190,1220,242製版工
文選工，植字工,46630,36720,9910,241文選工，植字工
印刷工,122790,109010,13780,243印刷工
製本工,36920,19960,16960,244製本工
ゴム・製品製造作業者,228690,138980,89710,(53)ゴム・製品製造作業者
ゴム工,12920,11200,1720,246ゴム工
ゴム製品成形工,76990,42790,34200,247ゴム製品成形工
製品成型工,92740,63740,29000,製品成型工
革・革製品製造作業者,91780,75740,16040,(54)革・革製品製造作業者
製革工,10780,9090,1690,250製革工
靴製造工・修理工,66060,57970,8090,251靴製造工・修理工
窯業・土石製品製造作業者,369980,271760,98220,(38)窯業・土石製品製造作業者
窯業原料工,10330,8930,1400,145窯業原料工
ガラス製品成形工,29340,24660,4680,146ガラス製品成形工
陶磁器工,58810,36040,22770,148陶磁器工
窯業絵付工,21550,8070,13480,149窯業絵付工
れんが・かわら・土管製造工,49190,37090,12100,147れんが・かわら・土管製造工
セメント製造工,5940,5800,140,150セメント製造工
セメント製品製造工,42270,35030,7240,151セメント製品製造工
石工,64580,61090,3490,152石工
飲食料品製造従事者,664710,416290,248420,(46)飲食料品製造従事者
精穀工，製粉工,70220,51950,18270,193精穀工，製粉工
パン・菓子製造工,217590,165700,51890,198パン・菓子製造工
製茶工,6040,4810,1230,204製茶工
めん類製造工,30790,19160,11630,197めん類製造工
豆腐・こんにゃく・ふ製造工,71850,43200,28650,199豆腐・こんにゃく・ふ製造工
製糖工,3840,3670,170,194製糖工
水産物加工工,117640,45240,72400,202水産物加工工
みそ・しょう油製造工,20110,17350,2760,195みそ・しょう油製造工
缶詰・瓶詰食品製造工,29290,4510,24780,200缶詰・瓶詰食品製造工
酒類製造工,11630,10040,1590,205酒類製造工
清涼飲料製造工,6310,4000,2310,206清涼飲料製造工
乳・乳製品製造工,9790,7110,2680,201乳・乳製品製造工
化学製品製造作業者,239780,204970,34810,化学製品製造作業者
科学工,158910,147300,11610,科学工
動植物油脂工,7230,6340,890,動植物油脂工
油脂加工工,7890,6830,1060,油脂加工工
製塩工,2990,2650,340,製塩工
建設作業者,1245440,1235580,9860,(58)建設作業者
土木・建築請負師,31480,31320,160,土木・建築請負師
大工,614890,614890,0,大工
屋根ふき工,22350,22350,0,280屋根ふき工
左官,184600,182210,2390,281左官
とび工,59200,59200,0,278とび工
れんが積工，タイル張工,27080,26240,840,279れんが積工，タイル張工
配管工，鉛工,86740,86390,350,282配管工，鉛工
畳工,37770,36540,1230,283畳工
据付機関・建設機械運転作業者,168640,167890,750,(56)据付機関・建設機械運転作業者
機関士,60600,60400,200,268機関士
起重機・巻上機運転工,53920,53650,270,269起重機・巻上機運転工
建設機械運転工,18820,18820,0,270建設機械運転工
電気従事者,310340,308880,1460,電気従事者
発電工、変電工,51970,51880,90,発電工、変電工
電線架線工,44990,4490,40500,273電線架線工
たばこ製造工,13060,3830,9230,207たばこ製造工
塗装工,194680,161280,33400,塗装工
漆塗師,15230,11410,3820,漆塗師
内張工,7890,6650,1240,内張工
表具師,18560,16720,1840,261表具師
和傘・ちょうちん・うちわ製造工,7660,4410,3250,255和傘・ちょうちん・うちわ製造工
貴金属・宝石細工工,15710,9950,5760,258貴金属・宝石細工工
甲・角・貝・牙細工工,5080,3110,1970,甲・角・貝・牙細工工
印判師,10990,9780,1210,259印判師
洋傘組立工,10760,7020,3740,256洋傘組立工
かばん・袋物製造工,29070,17140,11930,253かばん・袋物製造工
がん具製造工,36890,15320,21570,254がん具製造工
製図工，写図工,121990,112410,9580,264製図工，写図工
現図工,4410,4340,70,265現図工
映写技師,20990,20650,340,映写技師
他に分類されない単純労働者,2281680,1663600,618080,他に分類されない単純労働者
荷造工,256420,108680,147740,291荷造工
倉庫夫,81240,76130,5110,倉庫夫
沖仲仕、沿岸仲仕,35810,34240,1570,沖仲仕、沿岸仲仕
陸仲仕、運搬夫,262400,229930,32470,陸仲仕、運搬夫
線路工手,63150,63150,0,線路工手
土工、道路工夫,650400,518430,131970,土工、道路工夫
駅手,32100,31580,520,駅手
配達夫,218420,183550,34870,配達夫
サービス職業従事者,2848140,1157350,1690790,サービス職業従事者
保安サービス従事者,496530,492390,4140,保安サービス従事者
自衛官,211170,210680,490,101自衛官
警察官，海上保安官、鉄道公安員,134200,133500,700,102警察官，海上保安官、鉄道公安員
消防員,34180,34110,70,104消防員
家事サービス職業従事者,310860,2660,308200,(22)家事サービス職業従事者
家事女中住込みの女子,254370,0,254370,80家事女中(住込みの女子)
家政婦,21900,20,21880,81家政婦
旅館主・支配人・番頭,73920,36070,37850,93旅館主・支配人・番頭
料理人・バーテンダー,477600,207370,270230,料理人・バーテンダー
給仕人、接客女中,556580,43320,513260,給仕人、接客女中
理容師、美容師,411210,143720,267490,理容師、美容師
洗濯職,128760,97540,31220,洗濯職
浴場従事者,64640,31210,33430,浴場従事者
職業スポーツ家,9230,8920,310,職業スポーツ家
ファッションモデル等の広告宣伝員,6450,3130,3320,ファッションモデル等の広告宣伝員
芸者，ダンサー,26790,180,26610,91芸者，ダンサー
娯楽場等の接客員,127530,35240,92290,92娯楽場等の接客員
物品一時預り人，賃貸人,29750,11490,18260,98物品一時預り人，賃貸人
掃除人,50550,13202,37348,掃除人
