職業,総数,男,女,old_title
総数,55778235,34631463,21146772,総数
専門的・技術的職業従事者,4881251,2757521,2123730,Ａ専門的・技術的職業従事者
科学研究者,66156,62113,4043,(1)科学研究者
自然科学系研究者,63729,60019,3710,1自然科学系研究者
人文・社会科学系研究者,2427,2094,333,2人文・社会科学系研究者
技術者,874141,853798,20343,(2)技術者
鉱山技術者,2796,2783,13,3鉱山技術者
金属製錬技術者,12171,12150,21,4金属製錬技術者
機械技術者,117936,117387,549,5機械技術者
電気・電子技術者,119499,118900,599,6電気・電子技術者
化学技術者,35940,34555,1385,7化学技術者
建築技術者,173537,170222,3315,8建築技術者
土木・測量技術者,178391,177742,649,9土木・測量技術者
農林技術者,57717,56653,1064,10農林技術者
情報処理技術者,129763,118421,11342,11情報処理技術者
保健医療従事者,1311531,410709,900822,(3)保健医療従事者
医師,151762,135469,16293,12医師
歯科医師,52142,45328,6814,13歯科医師
獣医師,13704,13109,595,14獣医師
薬剤師,76129,33255,42874,15薬剤師
助産婦,17097,0,17097,助産婦
保健婦,18825,0,18825,保健婦
栄養士,49739,2501,47238,栄養士
看護婦，看護士,530905,13255,517650,18看護婦，看護士
あん摩マッサージ指圧師，はり師，きゅう師，柔道整復師,73431,51202,22229,24あん摩マッサージ指圧師，はり師，きゅう師，柔道整復師
臨床・衛生検査技師,40160,17440,22720,20臨床・衛生検査技師
法務従事者,43436,40130,3306,(5)法務従事者
裁判官，検察官，弁護士,15931,15396,535,28裁判官，検察官，弁護士
公認会計士，税理士,41016,39585,1431,(6)公認会計士，税理士
公認会計士，税理士,41016,39585,1431,30公認会計士，税理士
教員,1296857,741955,554902,(7)教員
幼稚園教員,96238,5204,91034,31幼稚園教員
小学校教員,466457,201182,265275,32小学校教員
中学校教員,249397,167313,82084,33中学校教員
高等学校教員,270024,214566,55458,34高等学校教員
大学教員,114633,96410,18223,35大学教員
盲学校・ろう聾学校・養護学校教員,32684,16271,16413,36盲学校・ろう(聾)学校・養護学校教員
宗教家,112608,91166,21442,(8)宗教家
宗教家,112608,91166,21442,38宗教家
文芸家，記者，編集者,101621,84650,16971,(9)文芸家，記者，編集者
文芸家，著述家,23502,18063,5439,39文芸家，著述家
記者，編集者,78120,66587,11533,40記者，編集者
美術家，写真家，デザイナー,161855,117408,44447,(10)美術家，写真家，デザイナー
彫刻家，画家，工芸美術家,22518,17452,5066,41彫刻家，画家，工芸美術家
デザイナー,92936,58074,34862,42デザイナー
写真家，カメラマン,46400,41881,4519,43写真家，カメラマン
音楽家，舞台芸術家,136017,53224,82793,(11)音楽家，舞台芸術家
音楽家,94172,27110,67062,45音楽家
俳優，舞踊家，演芸家,41845,26114,15731,46俳優，舞踊家，演芸家
保母、保父,231093,1132,229961,保母、保父
社会福祉事業専門職員,107921,43691,64230,社会福祉事業専門職員
個人教師学習指導,212934,74587,138347,48個人教師(学習指導)
職業スポーツ家,27667,20940,6727,50職業スポーツ家
他に分類されない専門的・技術的職業従事者,156398,122433,33965,52他に分類されない専門的・技術的職業従事者
管理的職業従事者,2667096,2485660,181436,Ｂ管理的職業従事者
管理的公務員,142311,140536,1775,(13)管理的公務員
管理的公務員,142311,140536,1775,53管理的公務員
会社・団体等の役員,1358938,1199425,159513,(14)会社・団体等の役員
会社役員,1302260,1145488,156772,54会社役員
会社・団体等の管理的職業従事者,1059863,1045354,14509,56会社・団体等の管理的職業従事者
駅長、区長,8211,8194,17,駅長、区長
郵便局長,19161,18654,507,郵便局長
他に分類されない管理的職業従事者,78612,73497,5115,57他に分類されない管理的職業従事者
事務従事者,9299231,4281685,5017546,Ｃ事務従事者
一般事務従事者,8763292,3975667,4787625,(16)一般事務従事者
一般事務員,6532157,3292643,3239514,58一般事務員
会計事務員,2231136,683024,1548112,59会計事務員
運輸・通信事務従事者,223817,193696,30121,(18)運輸・通信事務従事者
運輸事務員,139544,131714,7830,62運輸事務員
郵便・通信事務員,84273,61982,22291,63郵便・通信事務員
外勤事務従事者,96215,56076,40139,(17)外勤事務従事者
集金人,77518,46568,30950,60集金人
速記者，タイピスト,82989,2990,79999,64速記者，タイピスト
せん孔機等操作員,51956,2533,49423,65せん孔機等操作員
電子計算機等操作員,80962,50723,30239,66電子計算機等操作員
販売従事者,7988049,4851199,3136850,Ｄ販売従事者
商品販売従事者,5684881,2924513,2760368,(20)商品販売従事者
小売店主,1378188,1021568,356620,67小売店主
卸売店主,227079,214160,12919,68卸売店主
飲食店主,340335,186662,153673,69飲食店主
販売店員,3574016,1410984,2163032,70販売店員
行商、露天商,108464,45092,63372,行商、露天商
再生資源卸売・回収従事者,56798,46047,10751,72再生資源卸売・回収従事者
販売類似職業従事者,2303168,1926685,376483,(21)販売類似職業従事者
商品仲立人,12728,11661,1067,74商品仲立人
外交員商品，保険，不動産を除く,1629077,1557367,71710,78外交員(商品，保険，不動産を除く)
保険代理人・外交員,343242,117414,225828,76保険代理人・外交員
不動産,197175,155545,41630,不動産
質屋店主・店員,11703,5920,5783,77質屋店主・店員
農林漁業作業者,6075926,3190369,2885557,Ｇ農林漁業作業者
農業作業者,5498888,2721480,2777408,(29)農業作業者
農耕・養蚕作業者,5093908,2463713,2630195,107農耕・養蚕作業者
養畜作業者,317667,179509,138158,108養畜作業者
植木職，造園師,82799,75127,7672,109植木職，造園師
林業作業者,146321,122208,24113,(30)林業作業者
育林作業者,75363,56805,18558,111育林作業者
伐木・造材作業者,49623,46505,3118,112伐木・造材作業者
集材・運材作業者,12597,11924,673,113集材・運材作業者
製炭・製薪作業者,2655,1968,687,114製炭・製薪作業者
漁業作業者,430717,346682,84035,(31)漁業作業者
漁ろう作業者,255256,232871,22385,116漁ろう作業者
漁ろう船の船長・航海士・機関長・機関士,27143,27143,0,118漁ろう船の船長・航海士・機関長・機関士
海草・貝採取作業者,33123,24881,8242,117海草・貝採取作業者
水産養殖作業者,92494,58641,33853,119水産養殖作業者
採掘作業者,72680,70096,2584,Ｉ－１採掘作業者
採掘作業者,32389,31187,1202,(37)採掘作業者
採鉱員,5876,5787,89,137採鉱員
採炭員,11739,11739,0,138採炭員
石切出作業員,5813,5422,391,139石切出作業員
砂利・砂・粘土採取作業者,8961,8229,732,140砂利・砂・粘土採取作業者
支柱員,3982,3982,0,141支柱員
坑内運搬員,3602,3602,0,142坑内運搬員
選鉱員，選炭員,2954,2149,805,143選鉱員，選炭員
他の採掘作業者,29752,29175,577,他の採掘作業者
運輸・通信従事者,2416228,2274527,141701,Ｈ運輸・通信従事者
鉄道運転従事者,68483,68483,0,(32)鉄道運転従事者
電気・ディーゼル・蒸気機関士,32207,32207,0,121電気・ディーゼル・蒸気機関士
電車・気動車運転士,36276,36276,0,122電車・気動車運転士
自動車運転者,1837733,1823539,14194,(33)自動車運転者
自動車運転者,1837733,1823539,14194,123自動車運転者
船舶・航空機運転従事者,67516,66425,1091,(34)船舶・航空機運転従事者
船長・航海士・運転士漁ろう船を除く，水先人,34455,34248,207,124船長・航海士・運転士(漁ろう船を除く)，水先人
船舶機関長・機関士漁ろう船を除く,27919,27035,884,125船舶機関長・機関士(漁ろう船を除く)
航空機操縦士，航空機関士,5142,5142,0,126航空機操縦士，航空機関士
車掌,51503,32710,18793,127車掌
操車掛，信号掛，転てつ手，連結手,44333,44333,0,128操車掛，信号掛，転てつ手，連結手
甲板員・船舶技士,41242,40783,459,129甲板員・船舶技士
船舶機関員,10730,10649,81,130船舶機関員
他に分類されない運輸従事者,59388,57951,1437,131他に分類されない運輸従事者
通信従事者,235301,129655,105646,(36)通信従事者
無線通信・無線技術従事者,27098,25525,1573,132無線通信・無線技術従事者
有線通信員,12007,9364,2643,133有線通信員
電話交換手,99762,1511,98251,134電話交換手
郵便・電報外務員,89973,87378,2595,135郵便・電報外務員
Ｉ技能工，採掘・製造・建設作業者及び労務作業者,17598290,12544446,5053844,Ｉ技能工，採掘・製造・建設作業者及び労務作業者
金属材料製造作業者,352071,329954,22117,(39)金属材料製造作業者
製銑工，製鋼工,53274,52619,655,154製銑工，製鋼工
非鉄金属製錬工,22972,22122,850,155非鉄金属製錬工
鋳物工,76930,69702,7228,156鋳物工
鍛造工,19649,18773,876,157鍛造工
圧延工,58933,57794,1139,159圧延工
伸線工,9642,9115,527,160伸線工
金属熱処理工,21452,20676,776,158金属熱処理工
金属加工作業者,1995030,1656643,338387,(41)金属加工作業者
金属工作機械工,325652,283945,41707,165金属工作機械工
金属プレス工,185586,140874,44712,166金属プレス工
金属溶接・溶断工,343701,323286,20415,167金属溶接・溶断工
鉄工，びょう打工，製缶工,128401,128401,0,168鉄工，びょう打工，製缶工
板金工,175004,164162,10842,169板金工
金属彫刻工,9113,7073,2040,170金属彫刻工
めっき工,48158,38694,9464,171めっき工
一般機械器具組立・修理作業者,693772,614933,78839,(42)一般機械器具組立・修理作業者
一般機械器具組立工,402466,329614,72852,173一般機械器具組立工
一般機械器具修理工,291306,285319,5987,174一般機械器具修理工
電気機械器具組立・修理作業者,1059791,518451,541340,(43)電気機械器具組立・修理作業者
電気機械器具組立工,782533,374223,408310,175電気機械器具組立工
半導体製品製造工,38778,19119,19659,179半導体製品製造工
電球・真空管組立工,26326,13863,12463,177電球・真空管組立工
被覆電線製造工,26519,18375,8144,178被覆電線製造工
輸送機械組立・修理作業者,751090,724065,27025,(44)輸送機械組立・修理作業者
自動車組立工,119618,110060,9558,181自動車組立工
自動車整備工,428811,421116,7695,182自動車整備工
鉄道車両組立工・修理工,44565,44115,450,184鉄道車両組立工・修理工
船舶ぎ装工他に分類されないもの,21463,21065,398,186船舶ぎ装工(他に分類されないもの)
航空機組立工・整備工,18020,17834,186,183航空機組立工・整備工
自転車組立工・修理工,26023,22040,3983,185自転車組立工・修理工
時計・計器・光学機械器具組立・修理作業者,207758,112554,95204,(45)時計・計器・光学機械器具組立・修理作業者
時計組立工・修理工,40925,21065,19860,188時計組立工・修理工
レンズ研磨工・調整工,20024,11487,8537,189レンズ研磨工・調整工
光学機械器具組立工・修理工,46989,21086,25903,190光学機械器具組立工・修理工
計器組立工・調整工,48152,30324,17828,191計器組立工・調整工
製糸・紡織作業者,658878,245862,413016,(48)製糸・紡織作業者
繰糸工,8688,1499,7189,209繰糸工
粗紡工，精紡工,49699,11475,38224,210粗紡工，精紡工
合糸工，ねん糸工，加工糸工,39650,16428,23222,211合糸工，ねん糸工，加工糸工
揚返工，かせ取工,5008,730,4278,212揚返工，かせ取工
織機準備工,21905,8321,13584,213織機準備工
織布工,191649,54323,137326,214織布工
編物工，編立工,72054,26481,45573,217編物工，編立工
製鋼工，製網工繊維製,20330,6689,13641,218製鋼工，製網工(繊維製)
漂白工，精練工,14742,9970,4772,215漂白工，精練工
染色工,89365,62319,27046,216染色工
衣服・繊維製品製造作業者,1187684,215367,972317,(49)衣服・繊維製品製造作業者
洋服仕立職,79877,51368,28509,洋服仕立職
和服仕立工,85380,3553,81827,222和服仕立工
婦人・子供服仕立工,111550,11293,100257,220婦人・子供服仕立工
ミシン縫製工,616913,72024,544889,224ミシン縫製工
裁断工,56346,29350,26996,225裁断工
刺しゅう工,23007,5588,17419,刺しゅう工
木・竹・草・つる製品製造作業者,591043,432890,158153,(50)木・竹・草・つる製品製造作業者
製材工,122321,99084,23237,227製材工
チップ製造工,6019,3786,2233,228チップ製造工
合板工,48052,32029,16023,229合板工
木工,52127,40146,11981,230木工
木製家具・建具製造工,235677,182619,53058,231木製家具・建具製造工
船大工,8713,8713,0,232船大工
木製おけ・たる製造工,3632,2976,656,木製おけ・たる製造工
竹細工工,11739,6824,4915,233竹細工工
草・つる製品製造工,17596,7905,9691,234草・つる製品製造工
パルプ・紙・紙製品製造作業者,205499,123990,81509,(51)パルプ・紙・紙製品製造作業者
パルプ工，紙料工,12821,12151,670,236パルプ工，紙料工
製紙工,34326,28763,5563,製紙工
紙器製造工,62811,31613,31198,238紙器製造工
紙製品製造工,22770,7434,15336,239紙製品製造工
印刷・製本作業者,370612,272314,98298,(52)印刷・製本作業者
製版工,51070,44594,6476,242製版工
文選工，文字組版作業者,53946,35125,18821,241文選工，文字組版作業者
印刷工,169076,141596,27480,243印刷工
製本工,47301,23669,23632,244製本工
ゴム・プラスチック製品製造作業者,382178,235347,146831,(53)ゴム・プラスチック製品製造作業者
ゴム工,7507,6736,771,246ゴム工
ゴム製品成形工,79881,58982,20899,247ゴム製品成形工
プラスチック製品成形工・加工工・仕上工,217794,134289,83505,248プラスチック製品成形工・加工工・仕上工
革・革製品製造作業者,91749,48281,43468,(54)革・革製品製造作業者
製革工,11030,7556,3474,250製革工
靴製造工・修理工,59898,31454,28444,251靴製造工・修理工
窯業・土石製品製造作業者,399193,280255,118938,(38)窯業・土石製品製造作業者
窯業原料工,6742,5804,938,145窯業原料工
ガラス製品成形工,24722,21457,3265,146ガラス製品成形工
陶磁器工,61270,33363,27907,148陶磁器工
窯業絵付工,22851,6006,16845,149窯業絵付工
れんが・かわら・土管製造工,30873,21715,9158,147れんが・かわら・土管製造工
セメント製造工,7416,7113,303,150セメント製造工
セメント製品製造工,82096,62681,19415,151セメント製品製造工
石工,54839,47627,7212,152石工
食料品製造作業者,807649,393716,413933,(46)食料品製造作業者
精穀工，製粉工,21916,16266,5650,193精穀工，製粉工
パン・菓子製造工,227434,133859,93575,198パン・菓子製造工
めん類製造工,40980,18858,22122,197めん類製造工
豆腐・こんにゃく・ふ製造工,63070,32160,30910,199豆腐・こんにゃく・ふ製造工
製糖工,4370,3843,527,194製糖工
製茶工,6154,4368,1786,204製茶工
みそ・しょう油製造工,14391,10153,4238,195みそ・しょう油製造工
缶詰・瓶詰食品製造工,22986,4903,18083,200缶詰・瓶詰食品製造工
酒類製造工,14307,11562,2745,205酒類製造工
清涼飲料製造工,10231,6872,3359,206清涼飲料製造工
乳・乳製品製造工,17873,13932,3941,201乳・乳製品製造工
水産物加工工,115491,35179,80312,202水産物加工工
動植物油脂製造工,5193,4414,779,動植物油脂製造工
化学製品製造作業者,298362,248051,50311,化学製品製造作業者
科学工,172593,159838,12755,科学工
油脂加工工,5706,4517,1189,油脂加工工
建設作業者,3173302,2989741,183561,(58)建設作業者
大工,936703,930072,6631,277大工
屋根ふき工,34473,32725,1748,280屋根ふき工
左官,289611,277964,11647,281左官
とび工,68898,68898,0,278とび工
れんが積工，タイル張工,75757,71862,3895,279れんが積工，タイル張工
配管工，鉛工,277195,273232,3963,282配管工，鉛工
畳工,40455,34763,5692,283畳工
土木工，舗装工,885946,765176,120770,284土木工，舗装工
鉄道線路工事作業者,46463,46463,0,285鉄道線路工事作業者
定置機関・機械及び建設機械運転作業者,351255,350361,894,(56)定置機関・機械及び建設機械運転作業者
機関士,63767,63767,0,268機関士
起重機・巻上機運転工,83262,83262,0,269起重機・巻上機運転工
建設機械運転工,111923,111923,0,270建設機械運転工
電気作業者,632960,627921,5039,(57)電気作業者
発電員，変電員,59764,59764,0,272発電員，変電員
電線架線工,87085,87085,0,273電線架線工
電気工事人,349008,345759,3249,275電気工事人
電信電話機器据付工・保守工,124109,122710,1399,274電信電話機器据付工・保守工
たばこ製造工,9177,4794,4383,207たばこ製造工
塗装工,338421,293571,44850,塗装工
漆塗師,21572,12721,8851,漆塗師
内張工,13746,9173,4573,内張工
表具師,37577,30389,7188,261表具師
和傘・ちょうちん・うちわ製造工,3046,1278,1768,255和傘・ちょうちん・うちわ製造工
貴金属・宝石・甲・角等細工工,28990,19703,9287,258貴金属・宝石・甲・角等細工工
印判師,11093,8731,2362,259印判師
洋傘組立工,5068,1866,3202,256洋傘組立工
かばん・袋物製造工,50388,20261,30127,253かばん・袋物製造工
がん具製造工,33720,10828,22892,254がん具製造工
製図工，写図工,356550,312422,44128,264製図工，写図工
現図工,5456,5112,344,265現図工
包装工,262647,30855,231792,266包装工
映写技師,4226,3907,319,映写技師
運搬労務作業者,913885,735776,178109,(59)運搬労務作業者
船内・沿岸荷役作業者,29591,28791,800,287船内・沿岸荷役作業者
陸上荷役・運搬作業者,134264,122135,12129,288陸上荷役・運搬作業者
倉庫作業員,184104,168082,16022,289倉庫作業員
配達員,421411,324072,97339,290配達員
荷造工,144515,92696,51819,291荷造工
清掃員,372008,163632,208376,292清掃員
他に分類されない労務作業者,704104,330299,373805,293他に分類されない労務作業者
保安職業従事者,773384,756328,17056,Ｆ保安職業従事者
保安職業従事者,773384,756328,17056,(28)保安職業従事者
自衛官,238448,235095,3353,101自衛官
警察官，海上保安官,218911,212563,6348,102警察官，海上保安官
消防員,110905,110364,541,104消防員
サービス職業従事者,3906879,1367074,2539805,サービス職業従事者
家事サービス職業従事者,107447,2861,104586,(22)家事サービス職業従事者
家事手伝い住込みの女子,21530,0,21530,80家事手伝い(住込みの女子)
家政婦,18742,0,18742,81家政婦
個人サービス業,3485983,1232716,2253267,個人サービス業
理容師見習を含む,262851,135293,127558,83理容師(見習を含む)
美容師見習を含む,306276,33081,273195,84美容師(見習を含む)
浴場従事者,43759,19769,23990,85浴場従事者
クリーニング工，洗張職,158548,83623,74925,86クリーニング工，洗張職
調理人,1509581,705050,804531,87調理人
バーテンダー,32430,28662,3768,88バーテンダー
接客・給仕職業従事者,791165,126889,664276,(25)接客・給仕職業従事者
接客社交係,110970,3030,107940,90接客社交係
芸者，ダンサー,12380,97,12283,91芸者，ダンサー
娯楽場等の接客員,217224,75281,141943,92娯楽場等の接客員
物品一時預り人，賃貸人,20570,10136,10434,98物品一時預り人，賃貸人
旅館主・支配人・番頭,65695,38628,27067,93旅館主・支配人・番頭
マンション・アパート・下宿・寄宿舎・寮の管理人,86563,27847,58716,94マンション・アパート・下宿・寄宿舎・寮の管理人
広告宣伝員,29708,4511,25197,99広告宣伝員
他に分類されないサービス職業従事者,131483,60511,70972,100他に分類されないサービス職業従事者
